reference	hypothesis
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
